,key_fangraphs,2024,SimplePosition,S2
59,7982,FA,Reliever,FALSE
60,19252,A3,Batter,TRUE
61,15552,$6.25 ,Reliever,FALSE
62,19997,A2,Batter,TRUE
63,15042,A3,Reliever,TRUE
64,19309,A3,Starter,FALSE
65,16587,A2,Reliever,FALSE
66,22581,A1,Batter,FALSE
67,26410,A1,Starter,TRUE
68,19225,,Reliever,FALSE
69,20185,,Reliever,FALSE
70,18123,,Batter,FALSE
71,5524,,Batter,FALSE
72,22116,,Batter,FALSE
73,19264,,Reliever,FALSE
74,26477,,Batter,FALSE
75,7432,,Reliever,FALSE
76,-1,,Batter,FALSE
77,19608,,Batter,FALSE
78,2481,,Batter,FALSE
79,20160,A1,Reliever,FALSE
80,16094,,Reliever,FALSE
81,17948,A2,Starter,FALSE
82,1014462,,Reliever,FALSE
83,14344,$22.00 ,Batter,FALSE
84,1009231,opt,Starter,FALSE
85,10324,$18.00 ,Batter,FALSE
86,18401,$17.00 ,Batter,FALSE
87,17130,$16.00 ,Reliever,FALSE
88,18360,$21.00 ,Batter,FALSE
89,13743,A4,Starter,TRUE
90,12155,opt,Batter,FALSE
91,7739,opt,Batter,FALSE
92,16556,$7.00 ,Batter,FALSE
93,9073,$1.25 ,Reliever,FALSE
94,25931,$5.00 ,Batter,FALSE
95,7531,$1.00 ,Reliever,FALSE
96,18655,A4,Reliever,TRUE
97,19352,$9.00 ,Batter,FALSE
98,12434,FA,Batter,FALSE
99,15761,FA,Reliever,FALSE
100,13185,$2.00 ,Batter,FALSE
101,8337,A3,Reliever,FALSE
102,5448,FA,Reliever,FALSE
103,10058,$1.90 ,Reliever,FALSE
104,27498,$1.00 ,Starter,FALSE
105,8418,FA,Batter,FALSE
106,18337,A3,Reliever,TRUE
107,18694,A1,Reliever,FALSE
108,17954,A1,Batter,FALSE
109,10315,A1,Reliever,FALSE
110,19665,A1,Starter,FALSE
111,20468,A1,Reliever,FALSE
112,19996,,Reliever,FALSE
113,27472,,Starter,FALSE
114,19951,A1,Reliever,FALSE
115,27779,,Reliever,FALSE
116,19766,,Reliever,FALSE
117,26031,,Batter,FALSE
118,19337,,Reliever,FALSE
119,16424,A3,Batter,FALSE
120,1009329,,Reliever,FALSE
121,25817,,Batter,FALSE
122,18383,A4,Starter,TRUE
123,16953,,Batter,FALSE
124,25928,,Reliever,FALSE
125,19346,A1,Batter,FALSE
126,5361,$25.29 ,Batter,FALSE
127,4940,FA,Batter,FALSE
128,13611,$24.77 ,Batter,FALSE
129,2036,FA,Starter,FALSE
130,13757,$13.00 ,Batter,FALSE
131,14765,FA,Starter,FALSE
132,13301,opt,Batter,FALSE
133,11762,FA,Starter,FALSE
134,6184,FA,Batter,FALSE
135,19374,A4,Reliever,TRUE
136,12572,opt,Reliever,FALSE
137,7146,opt,Reliever,FALSE
138,2136,FA,Batter,FALSE
139,19197,A2,Batter,FALSE
140,7802,$5.00 ,Batter,FALSE
141,12158,$3.50 ,Batter,FALSE
142,19388,$3.40 ,Starter,TRUE
143,19716,A2,Starter,FALSE
144,15068,A2,Reliever,FALSE
145,10197,FA,Starter,FALSE
146,9952,A2,Batter,FALSE
147,17734,A1,Reliever,FALSE
148,20367,A2,Reliever,TRUE
149,10547,FA,Reliever,FALSE
150,19349,A3,Reliever,FALSE
151,15015,$0.10 ,Starter,FALSE
152,16610,A1,Reliever,FALSE
153,19955,A1,Batter,FALSE
154,25007,A1,Reliever,FALSE
155,18519,,Reliever,FALSE
156,23221,,Reliever,FALSE
157,21298,,Reliever,FALSE
158,24770,,Batter,FALSE
159,26221,,Starter,FALSE
160,20178,,Batter,FALSE
161,23779,,Reliever,FALSE
162,26319,,Batter,FALSE
163,1002025,,Batter,FALSE
164,26365,,Batter,FALSE
165,16408,A1,Reliever,FALSE
166,19432,,Batter,FALSE
167,1007530,,Batter,FALSE
168,-1,,Batter,FALSE
169,-1,,Batter,FALSE
170,13414,A1,Batter,FALSE
171,18577,$7.00 ,Batter,FALSE
172,4806,FA,Starter,FALSE
173,19326,A3,Batter,TRUE
174,2396,FA,Batter,FALSE
175,12976,FA,Batter,FALSE
176,9847,FA,Batter,FALSE
177,5452,FA,Batter,FALSE
178,11189,FA,Starter,FALSE
179,18282,opt,Reliever,FALSE
180,17594,A2,Starter,FALSE
181,17578,A2,Reliever,FALSE
182,13594,FA,Reliever,FALSE
183,14677,A2,Reliever,FALSE
184,15036,A1,Reliever,FALSE
185,15094,,Reliever,FALSE
186,19569,A1,Reliever,FALSE
187,19800,A1,Reliever,FALSE
188,16572,A1,Batter,TRUE
189,22487,,Starter,FALSE
190,23818,,Batter,FALSE
191,21987,,Batter,FALSE
192,22810,,Starter,FALSE
193,22361,,Reliever,FALSE
194,22175,,Reliever,FALSE
195,21101,,Reliever,FALSE
196,23264,,Batter,FALSE
197,22244,,Batter,FALSE
198,21711,,Batter,FALSE
199,19806,,Batter,FALSE
200,22318,,Reliever,FALSE
201,26319,,Reliever,FALSE
202,21420,,Reliever,FALSE
203,22871,,Batter,FALSE
204,18032,A1,Batter,TRUE
205,22169,,Batter,FALSE
206,16942,,Reliever,FALSE
207,24273,,Batter,FALSE
208,19444,A1,Reliever,FALSE
209,25332,,Batter,FALSE
210,24986,,Reliever,FALSE
211,24491,,Batter,FALSE
212,25807,,Batter,FALSE
213,17678,$30.50 ,Batter,FALSE
214,5417,$29.20 ,Batter,FALSE
215,15676,$19.50 ,Batter,FALSE
216,1008436,$17.70 ,Starter,FALSE
217,7005,$14.00 ,Reliever,FALSE
218,4106,FA,Batter,FALSE
219,12760,$11.50 ,Reliever,FALSE
220,11804,$1.00 ,Reliever,FALSE
221,19556,$10.83 ,Batter,FALSE
222,17295,A3,Starter,TRUE
223,6887,,Batter,FALSE
224,18345,A2,Batter,FALSE
225,15947,FA,Reliever,FALSE
226,17606,$7.40 ,Starter,FALSE
227,18413,A2,Starter,FALSE
228,18064,FA,Reliever,FALSE
229,16530,A2,Batter,TRUE
230,16418,A2,Reliever,FALSE
231,1004504,A1,Starter,FALSE
232,21636,,Batter,FALSE
233,19599,A1,Batter,FALSE
234,16609,A1,Reliever,FALSE
235,20308,,Batter,FALSE
236,21045,,Reliever,FALSE
237,25880,,Reliever,FALSE
238,25111,,Batter,FALSE
239,21324,,Reliever,FALSE
240,19407,,Reliever,FALSE
241,23003,,Batter,FALSE
242,20311,,Batter,FALSE
243,21587,,Batter,FALSE
244,19768,,Batter,FALSE
245,19866,A1,Starter,FALSE
246,24977,,Reliever,FALSE
247,21212,,Reliever,FALSE
248,17381,,Reliever,FALSE
249,25543,,Batter,FALSE
250,20447,,Reliever,FALSE
251,22254,,Reliever,FALSE
252,16496,,Reliever,FALSE
253,14162,$33.33 ,Batter,FALSE
254,14161,$15.14 ,Batter,FALSE
255,12768,,Starter,FALSE
256,14128,FA,Batter,FALSE
257,9774,$10.00 ,Batter,FALSE
258,12144,$1.00 ,Batter,FALSE
259,16358,FA,Starter,FALSE
260,13152,$1.00 ,Batter,FALSE
261,14813,A4,Batter,TRUE
262,17085,A3,Starter,FALSE
263,11489,FA,Batter,FALSE
264,14527,A3,Reliever,FALSE
265,14771,FA,Reliever,FALSE
266,18498,FA,Starter,FALSE
267,20099,$2.53 ,Starter,FALSE
268,10078,A4,Reliever,TRUE
269,8623,FA,Batter,FALSE
270,17338,A2,Batter,FALSE
271,19459,A2,Reliever,FALSE
272,24618,A1,Batter,FALSE
273,20325,A1,Batter,TRUE
274,16337,A1,Batter,TRUE
275,21501,,Batter,FALSE
276,20253,,Reliever,FALSE
277,20233,,Batter,FALSE
278,21390,,Starter,FALSE
279,20538,,Batter,FALSE
280,20437,,Batter,FALSE
281,20422,,Reliever,FALSE
282,24606,,Reliever,FALSE
283,21461,,Reliever,FALSE
284,24094,,Reliever,FALSE
285,21029,,Reliever,FALSE
286,21866,,Reliever,FALSE
287,64,,Reliever,FALSE
288,27702,,Reliever,FALSE
289,27534,,Batter,FALSE
290,17722,,Reliever,FALSE
291,21224,A1,Reliever,TRUE
292,27691,,Reliever,FALSE
293,26466,,Batter,FALSE
294,24494,,Reliever,FALSE
295,7304,$20.00 ,Batter,FALSE
296,1943,FA,Starter,FALSE
297,7593,$8.50 ,Starter,FALSE
298,15117,$9.25 ,Batter,FALSE
299,15734,FA,Starter,FALSE
300,14993,A3,Reliever,FALSE
301,10233,FA,Reliever,FALSE
302,19339,A3,Batter,TRUE
303,16502,A4,Starter,TRUE
304,25377,A2,Starter,TRUE
305,14375,FA,Reliever,FALSE
306,21455,A2,Starter,TRUE
307,14566,A3,Batter,FALSE
308,12181,,Batter,FALSE
309,17611,A2,Reliever,FALSE
310,12984,FA,Batter,FALSE
311,17783,$1.05 ,Reliever,FALSE
312,25764,,Batter,FALSE
313,19698,A1,Batter,FALSE
314,22276,,Reliever,FALSE
315,22713,A1,Reliever,TRUE
316,21537,,Starter,FALSE
317,21614,,Batter,FALSE
318,22197,,Batter,FALSE
319,17701,,Reliever,FALSE
320,27676,,Batter,FALSE
321,27684,,Batter,FALSE
322,20505,,Batter,FALSE
323,25055,,Batter,FALSE
324,22717,,Reliever,FALSE
325,13750,,Batter,FALSE
326,24607,,Reliever,FALSE
327,21956,,Reliever,FALSE
328,21840,,Batter,FALSE
329,22715,,Batter,FALSE
330,22224,,Starter,FALSE
331,21549,,Starter,FALSE
332,27451,,Reliever,FALSE
333,22117,,Batter,FALSE
334,23307,,Reliever,FALSE
335,18335,A2,Reliever,FALSE
336,17359,A3,Reliever,TRUE
337,22274,,Batter,FALSE
338,4314,FA,Batter,FALSE
339,10047,$1.50 ,Batter,FALSE
340,17696,A3,Batter,FALSE
341,13345,FA,Starter,FALSE
342,12510,$0.75 ,Batter,FALSE
343,16918,FA,Reliever,FALSE
344,19293,A3,Batter,TRUE
345,14814,FA,Reliever,FALSE
346,13470,A3,Reliever,FALSE
347,13355,FA,Batter,FALSE
348,18333,A2,Reliever,TRUE
349,13133,A2,Reliever,FALSE
350,16686,,Batter,FALSE
351,19268,A2,Reliever,FALSE
352,16233,A2,Reliever,FALSE
353,21523,A1,Batter,FALSE
354,19260,A1,Batter,FALSE
355,17988,A1,Batter,FALSE
356,23378,,Batter,FALSE
357,21132,,Reliever,FALSE
358,17871,,Reliever,FALSE
359,22182,,Starter,FALSE
360,19278,A1,Reliever,TRUE
361,19995,,Reliever,FALSE
362,26378,,Starter,FALSE
363,18376,,Starter,FALSE
364,19926,,Reliever,FALSE
365,27552,,Starter,FALSE
366,20321,,Batter,FALSE
367,19522,,Batter,FALSE
368,19754,,Reliever,FALSE
369,21853,,Batter,FALSE
370,7048,,Reliever,FALSE
371,26323,,Batter,FALSE
372,26668,,Batter,FALSE
373,23449,,Reliever,FALSE
374,25921,,Reliever,FALSE
375,26517,,Batter,FALSE
376,24581,,Reliever,FALSE
377,22557,,Batter,FALSE
378,21345,,Reliever,FALSE
379,25650,,Reliever,FALSE
380,25463,,Reliever,FALSE
381,15429,$28.00 ,Batter,FALSE
382,4892,,Batter,FALSE
383,15038,$2.50 ,Starter,FALSE
384,7859,,Batter,FALSE
385,16256,$15.00 ,Starter,FALSE
386,10243,FA,Batter,FALSE
387,7115,$9.50 ,Reliever,FALSE
388,15112,$12.00 ,Batter,FALSE
389,10815,FA,Batter,FALSE
390,12546,,Batter,FALSE
391,15488,$12.00 ,Starter,FALSE
392,11680,$6.00 ,Batter,FALSE
393,13435,FA,Reliever,FALSE
394,17186,FA,Starter,FALSE
395,13942,FA,Reliever,FALSE
396,11589,$0.50 ,Starter,FALSE
397,17907,A2,Batter,FALSE
398,16561,A2,Reliever,FALSE
399,9111,$0.50 ,Reliever,FALSE
400,14691,A3,Batter,TRUE
401,18297,$1.30 ,Reliever,FALSE
402,14361,A2,Starter,FALSE
403,15794,A1,Batter,FALSE
404,21290,A1,Reliever,TRUE
405,6623,,Reliever,FALSE
406,21267,,Reliever,FALSE
407,21270,,Batter,FALSE
408,21446,,Starter,FALSE
409,17639,,Reliever,FALSE
410,20543,,Batter,FALSE
411,19695,,Reliever,FALSE
412,19422,,Batter,FALSE
413,24064,,Batter,FALSE
414,20056,,Batter,FALSE
415,-1,,Batter,FALSE
416,25416,,Reliever,FALSE
417,1013331,,Batter,FALSE
418,25862,,Reliever,FALSE
419,25479,,Batter,FALSE
420,25427,,Reliever,FALSE
421,20529,,Batter,FALSE
422,17969,A1,Reliever,FALSE
423,25376,,Reliever,FALSE
424,21858,,Reliever,FALSE
425,25845,,Batter,FALSE
426,11477,$24.25 ,Batter,FALSE
427,16162,A4,Starter,TRUE
428,19361,A3,Starter,FALSE
429,15986,A3,Batter,FALSE
430,13590,FA,Batter,FALSE
431,19316,A3,Starter,FALSE
432,15679,A3,Batter,TRUE
433,16622,A3,Batter,TRUE
434,18679,$5.74 ,Starter,FALSE
435,12718,A3,Reliever,FALSE
436,18289,FA,Batter,FALSE
437,8779,$1.00 ,Starter,FALSE
438,15816,A2,Reliever,FALSE
439,14968,,Batter,FALSE
440,14811,opt,Batter,FALSE
441,1246,FA,Reliever,FALSE
442,19683,A2,Batter,FALSE
443,23550,$1.45 ,Reliever,FALSE
444,13346,A2,Reliever,FALSE
445,4301,$0.15 ,Reliever,FALSE
446,20503,,Batter,FALSE
447,13675,A1,Batter,FALSE
448,19990,A1,Starter,FALSE
449,19666,,Reliever,FALSE
450,24655,,Batter,FALSE
451,14332,A1,Reliever,FALSE
452,21367,,Reliever,FALSE
453,17292,A1,Reliever,FALSE
454,27555,,Batter,FALSE
455,22186,,Batter,FALSE
456,24737,,Reliever,FALSE
457,21620,,Reliever,FALSE
458,22164,,Batter,FALSE
459,23301,,Reliever,FALSE
460,19976,,Reliever,FALSE
461,21652,,Reliever,FALSE
462,19921,,Batter,FALSE
463,-1,,Reliever,FALSE
464,26364,,Reliever,FALSE
465,19844,A2,Batter,TRUE
466,25327,,Reliever,FALSE
467,11899,FA,Batter,FALSE
468,16376,$18.00 ,Batter,FALSE
469,5343,FA,Batter,FALSE
470,15873,$12.50 ,Starter,FALSE
471,13273,$12.50 ,Starter,FALSE
472,13781,FA,Starter,FALSE
473,13050,$12.00 ,Starter,FALSE
474,6562,$2.00 ,Starter,FALSE
475,13449,$12.00 ,Reliever,FALSE
476,14274,$20.00 ,Batter,FALSE
477,5827,$6.50 ,Batter,FALSE
478,14854,A3,Batter,TRUE
479,17995,A2,Starter,FALSE
480,16219,A4,Batter,TRUE
481,16153,A4,Batter,TRUE
482,11752,$6.50 ,Reliever,FALSE
483,13619,FA,Starter,FALSE
484,2900,,Batter,FALSE
485,12777,FA,Reliever,FALSE
486,16426,A2,Batter,TRUE
487,15541,A2,Reliever,FALSE
488,18126,A2,Batter,FALSE
489,17710,A2,Batter,FALSE
490,10591,FA,Reliever,FALSE
491,21524,,Batter,FALSE
492,21992,,Reliever,FALSE
493,1860,,Batter,FALSE
494,21065,,Reliever,FALSE
495,24782,,Batter,FALSE
496,25805,,Batter,FALSE
497,27735,,Batter,FALSE
498,21584,,Reliever,FALSE
499,1002841,,Reliever,FALSE
500,17922,,Batter,FALSE
501,21481,,Reliever,FALSE
502,25379,,Reliever,FALSE
503,25616,,Batter,FALSE
504,152,,Batter,FALSE
505,22515,,Batter,FALSE
506,2586,,Reliever,FALSE
507,25665,,Reliever,FALSE
508,23499,,Reliever,FALSE
509,13624,$35.00 ,Batter,FALSE
510,10954,$40.00 ,Starter,FALSE
511,12533,$26.00 ,Batter,FALSE
512,6902,FA,Starter,FALSE
513,9132,$17.00 ,Starter,FALSE
514,14916,$13.00 ,Starter,FALSE
515,6397,FA,Starter,FALSE
516,15423,$13.00 ,Starter,FALSE
517,14524,$0.50 ,Reliever,FALSE
518,19566,A2,Batter,TRUE
519,12775,FA,Batter,FALSE
520,15161,FA,Batter,FALSE
521,6986,FA,Reliever,FALSE
522,5254,FA,Batter,FALSE
523,8048,FA,Reliever,FALSE
524,18325,A3,Reliever,TRUE
525,17369,A3,Reliever,TRUE
526,13768,FA,Batter,FALSE
527,17464,A2,Reliever,FALSE
528,19287,A1,Batter,FALSE
529,16930,A1,Batter,FALSE
530,17968,A1,Reliever,FALSE
531,19409,A1,Reliever,FALSE
532,21366,,Starter,FALSE
533,23252,A1,Reliever,FALSE
534,18323,A1,Reliever,FALSE
535,18900,,Batter,FALSE
536,13629,,Batter,FALSE
537,22261,,Batter,FALSE
538,23733,,Batter,FALSE
539,21846,,Reliever,FALSE
540,26299,,Batter,FALSE
541,-1,,Batter,FALSE
542,22296,,Reliever,FALSE
543,-1,,Batter,FALSE
544,22209,,Batter,FALSE
545,1013828,,Reliever,FALSE
546,22051,A1,Reliever,FALSE
547,24597,,Batter,FALSE
548,21955,,Reliever,FALSE
549,3830,,Reliever,FALSE
550,22273,,Reliever,FALSE
551,19244,,Reliever,FALSE
552,5524,$12.90 ,Starter,FALSE
553,13613,$13.60 ,Batter,FALSE
554,12147,FA,Batter,FALSE
555,11156,$8.50 ,Starter,FALSE
556,13419,A3,Batter,FALSE
557,4264,$2.00 ,Reliever,FALSE
558,19238,FA,Batter,FALSE
559,19291,A2,Starter,FALSE
560,12988,$0.75 ,Reliever,FALSE
561,13183,$0.30 ,Starter,FALSE
562,13620,A4,Batter,TRUE
563,9368,FA,Batter,FALSE
564,15684,opt,Reliever,FALSE
565,19734,A2,Batter,TRUE
566,12056,$3.00 ,Reliever,FALSE
567,25878,$3.63 ,Batter,FALSE
568,19508,A2,Batter,TRUE
569,15256,A2,Reliever,FALSE
570,14857,A1,Reliever,FALSE
571,19876,A1,Reliever,FALSE
572,22799,,Batter,FALSE
573,21622,,Batter,FALSE
574,23792,,Batter,FALSE
575,20515,,Reliever,FALSE
576,19884,,Reliever,FALSE
577,17040,,Batter,FALSE
578,26260,,Reliever,FALSE
579,26253,,Starter,FALSE
580,22664,,Batter,FALSE
581,22915,,Reliever,FALSE
582,1000121,,Batter,FALSE
583,1000604,,Batter,FALSE
584,20493,,Batter,FALSE
585,19906,,Batter,FALSE
586,26149,,Batter,FALSE
587,21997,,Reliever,FALSE
588,26285,,Reliever,FALSE
589,24453,,Reliever,FALSE
590,19890,,Batter,FALSE
591,19892,A1,Batter,TRUE
592,12161,$25.46 ,Batter,FALSE
593,13074,$16.00 ,Starter,FALSE
594,20123,A4,Batter,TRUE
595,11493,$17.09 ,Batter,FALSE
596,12970,$20.00 ,Starter,FALSE
597,13543,FA,Starter,FALSE
598,14212,FA,Reliever,FALSE
599,12730,$8.00 ,Starter,FALSE
600,11426,FA,Reliever,FALSE
601,30115,$10.00 ,Reliever,FALSE
602,12447,$7.50 ,Starter,FALSE
603,14078,$6.50 ,Starter,FALSE
604,27506,$8.00 ,Batter,FALSE
605,19709,$11.71 ,Batter,FALSE
606,8090,$5.50 ,Batter,FALSE
607,18036,$7.29 ,Batter,FALSE
608,140,,Reliever,FALSE
609,18564,A2,Batter,FALSE
610,15941,A2,Batter,FALSE
611,16814,A3,Reliever,FALSE
612,13744,A4,Batter,TRUE
613,554,FA,Batter,FALSE
614,15082,FA,Batter,FALSE
615,20039,A2,Reliever,FALSE
616,12282,FA,Batter,FALSE
617,17732,A1,Reliever,FALSE
618,12178,,Reliever,FALSE
619,17169,A2,Reliever,FALSE
620,23796,,Reliever,FALSE
621,20353,,Reliever,FALSE
622,16466,,Reliever,FALSE
623,18821,,Batter,FALSE
624,22217,,Batter,FALSE
625,19964,,Batter,FALSE
626,18864,,Reliever,FALSE
627,20157,,Batter,FALSE
628,23443,,Reliever,FALSE
629,15214,A1,Batter,TRUE
630,21163,,Reliever,FALSE
631,1005065,,Reliever,FALSE
632,23809,,Reliever,FALSE
633,21541,,Reliever,FALSE
634,18217,,Batter,FALSE
635,2510,$16.50 ,Batter,FALSE
636,10171,$17.00 ,Batter,FALSE
637,19427,A3,Starter,FALSE
638,15518,FA,Batter,FALSE
639,13265,FA,Batter,FALSE
640,19312,A3,Starter,TRUE
641,18839,A3,Batter,TRUE
642,19979,A2,Starter,FALSE
643,17620,$4.90 ,Batter,FALSE
644,19479,A2,Starter,FALSE
645,21032,$2.90 ,Reliever,FALSE
646,19950,$5.57 ,Batter,FALSE
647,20151,A2,Reliever,TRUE
648,19932,$1.60 ,Reliever,FALSE
649,12981,A3,Batter,FALSE
650,18403,A1,Reliever,FALSE
651,17109,,Batter,FALSE
652,18000,A1,Starter,FALSE
653,18548,A1,Reliever,TRUE
654,24610,,Batter,FALSE
655,20203,,Reliever,FALSE
656,20517,A1,Reliever,TRUE
657,20970,,Batter,FALSE
658,25388,,Reliever,FALSE
659,22563,,Batter,FALSE
660,25660,,Batter,FALSE
661,25595,,Reliever,FALSE
662,25636,,Reliever,FALSE
663,25139,,Reliever,FALSE
664,592,,Batter,FALSE
665,-1,,Reliever,FALSE
666,22532,,Batter,FALSE
667,24765,,Batter,FALSE
668,1008195,,Batter,FALSE
669,21865,,Batter,FALSE
670,6640,,Batter,FALSE
671,24589,,Batter,FALSE
672,21453,,Reliever,FALSE
673,23690,,Batter,FALSE
674,23691,,Batter,FALSE
675,-1,,Batter,FALSE
676,6398,FA,Reliever,FALSE
677,15937,$8.00 ,Batter,FALSE
678,12325,$5.00 ,Batter,FALSE
679,2829,opt,Batter,FALSE
680,14894,FA,Batter,FALSE
681,17128,A3,Batter,FALSE
682,31839,,Starter,FALSE
683,11342,FA,Batter,FALSE
684,12499,opt,Reliever,FALSE
685,14739,A2,Starter,FALSE
686,5114,FA,Reliever,FALSE
687,10642,A2,Batter,TRUE
688,18171,A1,Batter,FALSE
689,18331,A1,Starter,FALSE
690,17092,,Reliever,FALSE
691,19493,,Reliever,FALSE
692,21170,,Reliever,FALSE
693,14874,,Reliever,FALSE
694,19627,,Batter,FALSE
695,19179,,Reliever,FALSE
696,1000155,,Batter,FALSE
697,19983,,Batter,FALSE
698,25816,,Batter,FALSE
699,21023,,Reliever,FALSE
700,20167,,Starter,FALSE
701,23312,,Batter,FALSE
702,20132,,Reliever,FALSE
703,21780,,Batter,FALSE
704,23429,,Reliever,FALSE
705,23324,,Reliever,FALSE
706,27681,,Starter,FALSE
707,26368,,Batter,FALSE
708,24703,,Batter,FALSE
709,22542,,Batter,FALSE
710,22650,,Batter,FALSE
711,20926,,Batter,FALSE
712,21520,,Reliever,FALSE
713,1008715,,Reliever,FALSE
714,20190,,Reliever,FALSE
715,20242,,Batter,FALSE
716,22411,,Batter,FALSE
717,1744,$8.00 ,Batter,FALSE
718,12979,$25.00 ,Batter,FALSE
719,13164,$18.00 ,Starter,FALSE
720,15440,FA,Starter,FALSE
721,14843,FA,Starter,FALSE
722,11265,FA,Batter,FALSE
723,15672,A3,Batter,FALSE
724,6399,FA,Reliever,FALSE
725,16207,A3,Starter,FALSE
726,17735,A2,Reliever,FALSE
727,10855,FA,Reliever,FALSE
728,17793,A2,Reliever,FALSE
729,22267,A1,Reliever,FALSE
730,14111,A1,Batter,FALSE
731,19392,,Batter,FALSE
732,20492,A1,Starter,FALSE
733,20369,,Starter,FALSE
734,25976,,Batter,FALSE
735,21558,,Batter,FALSE
736,21635,,Batter,FALSE
737,19531,,Reliever,FALSE
738,19883,,Reliever,FALSE
739,19452,A1,Batter,FALSE
740,26079,,Reliever,FALSE
741,25961,,Batter,FALSE
742,19962,,Reliever,FALSE
743,27465,,Batter,FALSE
744,17893,,Batter,FALSE
745,25097,,Reliever,FALSE
746,25867,,Batter,FALSE
747,22288,,Reliever,FALSE
748,1624,,Reliever,FALSE
749,22168,,Batter,FALSE
750,19874,,Reliever,FALSE
751,26231,,Reliever,FALSE
752,25822,,Batter,FALSE
753,23800,,Batter,FALSE
754,24968,,Reliever,FALSE
755,19614,,Batter,FALSE
756,18603,,Batter,FALSE
757,19562,,Batter,FALSE
758,19769,,Reliever,FALSE
759,26024,,Reliever,FALSE
760,10131,$32.50 ,Starter,FALSE
761,9323,$35.42 ,Starter,FALSE
762,16977,$7.00 ,Starter,FALSE
763,13621,FA,Batter,FALSE
764,15009,A2,Reliever,FALSE
765,18363,opt,Batter,FALSE
766,10762,FA,Batter,FALSE
767,13607,FA,Reliever,FALSE
768,16939,A2,Batter,FALSE
769,14975,FA,Starter,FALSE
770,15653,A4,Batter,TRUE
771,17610,A3,Reliever,TRUE
772,19610,$6.38 ,Batter,FALSE
773,17321,A2,Batter,FALSE
774,10314,FA,Reliever,FALSE
775,13324,A2,Batter,FALSE
776,15915,A3,Reliever,FALSE
777,15507,A2,Reliever,FALSE
778,14706,A1,Reliever,FALSE
779,19958,A1,Batter,FALSE
780,140,A1,Batter,TRUE
781,24580,,Starter,FALSE
782,19864,,Batter,FALSE
783,21850,,Reliever,FALSE
784,22201,,Starter,FALSE
785,25768,,Batter,FALSE
786,19296,,Batter,FALSE
787,14366,,Batter,FALSE
788,27473,,Reliever,FALSE
789,22906,,Batter,FALSE
790,18615,,Reliever,FALSE
791,21513,,Reliever,FALSE
792,20277,,Reliever,FALSE
793,22925,,Reliever,FALSE
794,25569,,Batter,FALSE
795,4748,,Reliever,FALSE
796,4055,,Batter,FALSE
797,22202,,Batter,FALSE
798,8246,A1,Reliever,FALSE
799,24017,,Reliever,FALSE
800,19273,,Batter,FALSE
801,21504,,Reliever,FALSE
802,26215,,Reliever,FALSE
803,13190,,Reliever,FALSE
804,3137,$43.33 ,Starter,FALSE
805,8700,$43.33 ,Starter,FALSE
806,12916,$32.48 ,Batter,FALSE
807,9241,$20.75 ,Batter,FALSE
808,14710,$18.64 ,Reliever,FALSE
809,12927,$20.50 ,Batter,FALSE
810,31838,$15.00 ,Starter,FALSE
811,19251,A3,Batter,FALSE
812,6632,FA,Starter,FALSE
813,11423,$13.00 ,Starter,FALSE
